claim_id,policy_number,line_of_business,accident_date,report_date,accident_year,claim_status,region,incurred_loss,paid_loss,case_reserve,ibnr_estimate,settlement_months
CLM-0001,POL-21395,Auto Physical Damage,2023-08-02,2023-08-06,2023,Open,Midwest,126221.47,39334.44,32299.96,37292.72,37
CLM-0002,POL-81426,Auto Liability,2022-05-14,2022-05-16,2022,Open,Northeast,113225.8,68420.57,14273.83,10743.04,44
CLM-0003,POL-46421,Commercial Property,2021-03-27,2021-04-11,2021,Reopened,Midwest,405668.08,83242.69,278599.23,35208.83,24
CLM-0004,POL-44671,Professional Liability,2021-03-16,2021-04-10,2021,Closed,Northeast,50909.19,14120.84,0.0,4237.47,41
CLM-0005,POL-57400,Auto Physical Damage,2024-02-03,2024-02-18,2024,Reopened,Northeast,486692.3,244722.27,166095.11,41640.83,42
CLM-0006,POL-59823,General Liability,2021-01-28,2021-02-20,2021,Open,Northeast,332325.34,271993.23,59707.98,42910.57,9
CLM-0007,POL-94939,Professional Liability,2022-07-17,2022-08-07,2022,Closed,Southeast,188239.58,69197.93,0.0,1334.89,46
CLM-0008,POL-83000,Commercial Property,2023-06-01,2023-06-22,2023,Open,West,365917.76,121017.05,138520.45,49486.64,43
CLM-0009,POL-51245,Commercial Property,2023-11-03,2023-11-14,2023,Open,Southeast,411792.28,347567.77,37302.58,4243.24,39
CLM-0010,POL-44438,Auto Physical Damage,2023-09-04,2023-09-20,2023,Closed,Southwest,75721.44,23602.7,0.0,3724.94,37
CLM-0011,POL-24371,Commercial Property,2022-05-27,2022-06-25,2022,Reopened,Southwest,184188.24,183794.19,156.37,25182.28,6
CLM-0012,POL-82512,Professional Liability,2023-07-09,2023-07-15,2023,Reopened,Southwest,300222.47,152457.13,105965.76,23934.44,19
CLM-0013,POL-69470,Professional Liability,2023-10-25,2023-11-18,2023,Open,West,376684.51,306952.29,37524.5,15381.51,13
CLM-0014,POL-49117,Auto Physical Damage,2024-01-18,2024-02-16,2024,Reopened,Midwest,486084.61,393519.4,60665.13,6214.13,43
CLM-0015,POL-88504,General Liability,2023-06-01,2023-06-08,2023,Open,Midwest,382442.85,241513.89,119090.4,26987.33,3
CLM-0016,POL-20322,Professional Liability,2022-09-27,2022-09-28,2022,Open,Midwest,439967.33,380718.0,30528.8,3838.33,39
CLM-0017,POL-79163,Auto Physical Damage,2024-02-07,2024-02-23,2024,Open,West,384088.04,116268.51,169448.79,27940.38,19
CLM-0018,POL-69177,Professional Liability,2022-05-16,2022-05-23,2022,Reopened,Southeast,357909.74,185824.53,132536.74,19297.6,36
CLM-0019,POL-92719,Professional Liability,2021-05-22,2021-05-30,2021,Open,Midwest,15411.96,9912.01,3915.46,1352.35,48
CLM-0020,POL-84847,Auto Physical Damage,2021-04-13,2021-04-16,2021,Open,Midwest,40074.39,15645.19,18768.57,11497.6,11
CLM-0021,POL-63883,Auto Liability,2022-08-26,2022-09-03,2022,Closed,Southwest,99252.91,27547.11,0.0,2155.26,30
CLM-0022,POL-34931,Auto Physical Damage,2024-11-04,2024-11-28,2024,Open,Northeast,35003.27,27392.54,6548.38,6354.18,15
CLM-0023,POL-82132,Professional Liability,2022-07-07,2022-07-12,2022,Closed,Southeast,142879.85,57129.82,0.0,4616.33,31
CLM-0024,POL-73092,Commercial Property,2020-04-13,2020-05-04,2020,Reopened,Northeast,484653.15,456103.97,25525.45,9149.24,34
CLM-0025,POL-47388,Auto Liability,2024-11-05,2024-11-18,2024,Open,Southeast,192591.69,190328.17,1099.26,39419.46,32
CLM-0026,POL-17989,General Liability,2023-11-27,2023-12-21,2023,Reopened,Southwest,81624.43,35699.77,44918.75,29379.83,37
